agnews,evopromptde,meta-llama\Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama\Meta-Llama-3-70B-Instruct,42,"Classify the topic of the following news as ""World"", ""Sports"", ""Tech"" or ""Business"".",1.0,0.89
agnews,evopromptde,meta-llama\Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama\Meta-Llama-3-70B-Instruct,47,"Your task is to identify the subject of the news piece and classify it into one of four categories: World, Sports, Business and Tech.",0.95,0.875
agnews,evopromptde,meta-llama\Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama\Meta-Llama-3-70B-Instruct,69,"The goal is to identify the journal article according to its primary theme and determine whether it belongs to the World, Sports, Business, or Tech category.</prompt",1.0,0.855
agnews,evopromptde,meta-llama\Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama\Meta-Llama-3-8B-Instruct,42,"Choose a word from World, Sports, Business and Tech to categorize the given text.",1.0,0.85
agnews,evopromptde,meta-llama\Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama\Meta-Llama-3-8B-Instruct,47,"Classify the media report into one of the below-listed sections: World, Sports, Business, or Tech, considering the main topic.",0.95,0.86
agnews,evopromptde,meta-llama\Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama\Meta-Llama-3-8B-Instruct,69,"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",0.85,0.855
agnews,evopromptga,meta-llama\Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama\Meta-Llama-3-70B-Instruct,42,"Determine the primary subject of the provided news article and classify it under one of the following categories: World, Sports, Business, or Tech.",1.0,0.855
agnews,evopromptga,meta-llama\Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama\Meta-Llama-3-70B-Instruct,47,"Determine the primary theme of a given news article and classify it under one of the four categories: World, Sports, Tech, or Business.",0.95,0.845
agnews,evopromptga,meta-llama\Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama\Meta-Llama-3-70B-Instruct,69,"Determine the most suitable category (World, Sports, Business, or Tech) for a news article based on its dominant subject matter.",1.0,0.845
agnews,evopromptga,meta-llama\Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama\Meta-Llama-3-8B-Instruct,42,"Your responsibility is to assign a news article to one of four categories: World, Sports, Business, or Tech, based on its main idea.",0.95,0.885
