step,prompt,score
1,"Your job is to evaluate the review and classify it as one of five classes: terrible, bad, okay, good, or great.",0.45
1,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.4
1,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.4
1,"Determine the sentiment of the movie review and choose from terrible, bad, okay, good and great to describe the movie.",0.4
1,"Examine the film analysis based on the sentiment and categorize it into one of the following categories: terrible, bad, okay, good, or great, while considering the overall sentiment.</",0.45
1,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
1,"Your objective is to analyze the movie review and allocate it to one of five categories, from terrible to great.",0.35
1,"Examine the comment provided and classify it into one of five categories: terrible, bad, okay, good, or great.",0.3
1,"Categorize the movie review provided into one of five degrees based on the sentiment: terrible, bad, okay, good, or great.",0.3
2,"Evaluations should be examined and one of the following classes assigned to passages given in the review: terrible, bad, okay, good, great.",0.5
2,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
2,"As you evaluate the opinion of the movie review, type it into one of the categories ( terrible, bad, okay, good, great ) and provide a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return the label only without any other text.",0.45
2,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.4
2,"Determine the sentiment of the movie review and choose from terrible, bad, okay, good and great to describe the movie.",0.4
2,"Examine the film analysis based on the sentiment and categorize it into one of the following categories: terrible, bad, okay, good, or great, while considering the overall sentiment.</",0.45
2,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
2,"Your objective is to analyze the movie review and allocate it to one of five categories, from terrible to great.",0.35
2,"Examine the comment provided and classify it into one of five categories: terrible, bad, okay, good, or great.",0.3
2,"Categorize the movie review provided into one of five degrees based on the sentiment: terrible, bad, okay, good, or great.",0.3
3,"Evaluations should be examined and one of the following classes assigned to passages given in the review: terrible, bad, okay, good, great.",0.5
3,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
3,"As you evaluate the opinion of the movie review, type it into one of the categories ( terrible, bad, okay, good, great ) and provide a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return the label only without any other text.",0.45
3,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.4
3,"Determine the sentiment of the movie review and choose from terrible, bad, okay, good and great to describe the movie.",0.4
3,"Examine the film analysis based on the sentiment and categorize it into one of the following categories: terrible, bad, okay, good, or great, while considering the overall sentiment.</",0.45
3,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
3,"Your objective is to analyze the movie review and allocate it to one of five categories, from terrible to great.",0.35
3,"Examine the comment provided and classify it into one of five categories: terrible, bad, okay, good, or great.",0.3
3,"Evaluate the phrase provided and label the movie review into one of the following emotional tones: terrible, bad, okay, good, or great.",0.4
4,"Evaluations should be examined and one of the following classes assigned to passages given in the review: terrible, bad, okay, good, great.",0.5
4,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
4,"As you evaluate the opinion of the movie review, type it into one of the categories ( terrible, bad, okay, good, great ) and provide a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return the label only without any other text.",0.45
4,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.4
4,"Determine the sentiment of the movie review and choose from terrible, bad, okay, good and great to describe the movie.",0.4
4,"Examine the film analysis based on the sentiment and categorize it into one of the following categories: terrible, bad, okay, good, or great, while considering the overall sentiment.</",0.45
4,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
4,"Your objective is to analyze the movie review and allocate it to one of five categories, from terrible to great.",0.35
4,"Evaluate the text provided and categorize movie reviews into one of the following categories: terrible, bad, okay, good, or great.",0.6
4,"Evaluate the phrase provided and label the movie review into one of the following emotional tones: terrible, bad, okay, good, or great.",0.4
5,"Evaluations should be examined and one of the following classes assigned to passages given in the review: terrible, bad, okay, good, great.",0.5
5,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
5,"As you evaluate the opinion of the movie review, type it into one of the categories ( terrible, bad, okay, good, great ) and provide a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return the label only without any other text.",0.45
5,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.4
5,"Determine the sentiment of the movie review and choose from terrible, bad, okay, good and great to describe the movie.",0.4
5,"Examine the given opinion on movie reviews and segment the reviews into one of the following categories: terrible, bad, okay, good, or great, considering the overall sentiment.",0.5
5,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
5,"Your objective is to analyze the movie review and allocate it to one of five categories, from terrible to great.",0.35
5,"Evaluate the text provided and categorize movie reviews into one of the following categories: terrible, bad, okay, good, or great.",0.6
5,"Evaluate the phrase provided and label the movie review into one of the following emotional tones: terrible, bad, okay, good, or great.",0.4
6,"Evaluations should be examined and one of the following classes assigned to passages given in the review: terrible, bad, okay, good, great.",0.5
6,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
6,"As you evaluate the opinion of the movie review, type it into one of the categories ( terrible, bad, okay, good, great ) and provide a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return the label only without any other text.",0.45
6,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.4
6,"Determine the sentiment of the movie review and choose from terrible, bad, okay, good and great to describe the movie.",0.4
6,"Examine the given opinion on movie reviews and segment the reviews into one of the following categories: terrible, bad, okay, good, or great, considering the overall sentiment.",0.5
6,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
6,"Your objective is to analyze the movie review and allocate it to one of five categories, from terrible to great.",0.35
6,"Evaluate the text provided and categorize movie reviews into one of the following categories: terrible, bad, okay, good, or great.",0.6
6,"Evaluate the phrase provided and label the movie review into one of the following emotional tones: terrible, bad, okay, good, or great.",0.4
7,"Evaluations should be examined and one of the following classes assigned to passages given in the review: terrible, bad, okay, good, great.",0.5
7,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
7,"As you evaluate the opinion of the movie review, type it into one of the categories ( terrible, bad, okay, good, great ) and provide a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return the label only without any other text.",0.45
7,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.4
7,"Determine the sentiment of the movie review and choose from terrible, bad, okay, good and great to describe the movie.",0.4
7,"Examine the given opinion on movie reviews and segment the reviews into one of the following categories: terrible, bad, okay, good, or great, considering the overall sentiment.",0.5
7,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
