agnews,evopromptga,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_ga_template_task_desc.txt,42,0.845
agnews,evopromptga,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_ga_template_task_desc.txt,47,0.865
agnews,evopromptga,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_ga_template_task_desc.txt,69,0.86
agnews,evopromptde,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_de_template_task_desc.txt,42,0.875
agnews,evopromptde,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_de_template_task_desc.txt,47,0.865
agnews,evopromptde,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_de_template_task_desc.txt,69,0.88
cr,evopromptga,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_ga_template_task_desc.txt,42,0.935
cr,evopromptga,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_ga_template_task_desc.txt,47,0.88
cr,evopromptga,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_ga_template_task_desc.txt,69,0.88
cr,evopromptde,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_de_template_task_desc.txt,42,0.93
cr,evopromptde,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_de_template_task_desc.txt,47,0.93
cr,evopromptde,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_de_template_task_desc.txt,69,0.93
mr,evopromptga,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_ga_template_task_desc.txt,42,0.915
mr,evopromptga,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_ga_template_task_desc.txt,47,0.94
mr,evopromptga,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_ga_template_task_desc.txt,69,0.88
mr,evopromptde,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_de_template_task_desc.txt,42,0.865
mr,evopromptde,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_de_template_task_desc.txt,47,0.885
mr,evopromptde,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_de_template_task_desc.txt,69,0.87
sst-5,evopromptga,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_ga_template_task_desc.txt,42,0.49
sst-5,evopromptga,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_ga_template_task_desc.txt,47,0.465
sst-5,evopromptga,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_ga_template_task_desc.txt,69,0.445
sst-5,evopromptde,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,templates/evoprompt_de_template_task_desc.txt,42,0.525
