step,prompt,score
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",1.0
1,"Given a statement, classify it as expressing a positive or negative opinion.",1.0
1,"Given a sentence, classify it as either positive or negative sentiment.",1.0
1,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
1,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
1,"Now you are a classifier, your task is to determine the sentiment polarity of the given text, whether positive or negative.",0.85
1,"Given text, classify whether it is positive or negative.",0.85
1,"Determine the sentiment of the text provided, positve or negative.",0.8
1,"Determine the sentiment of a movie review based on a given text, positive or negative.",0.8
1,"You are a sentiment classifier. To do this, you must first understand the meaning of the sentence and any relevant context. And then you should classify it as positive or negative.",0.75
2,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",1.0
2,"Given a statement, classify it as expressing a positive or negative opinion.",1.0
2,"Given a sentence, classify it as either positive or negative sentiment.",1.0
2,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
2,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
2,"Now you are a classifier, your task is to determine the sentiment polarity of the given text, whether positive or negative.",0.85
2,"Given text, classify whether it is positive or negative.",0.85
2,"Determine the sentiment of the text provided, positve or negative.",0.8
2,"Determine the sentiment of a movie review based on a given text, positive or negative.",0.8
2,"As a sentiment classifier, analyze an utterance and categorize it as having a favorable or unfavorable tone, while considering the meaning and relevant context.",0.8
3,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",1.0
3,"Given a statement, classify it as expressing a positive or negative opinion.",1.0
3,"Given a sentence, classify it as either positive or negative sentiment.",1.0
3,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
3,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
3,"Now you are a classifier, your task is to determine the sentiment polarity of the given text, whether positive or negative.",0.85
3,"Given text, classify whether it is positive or negative.",0.85
3,"Determine the sentiment of the text provided, positve or negative.",0.8
3,"Determine the sentiment of a movie review based on a given text, positive or negative.",0.8
3,"As a sentiment classifier, analyze an utterance and categorize it as having a favorable or unfavorable tone, while considering the meaning and relevant context.",0.8
4,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",1.0
4,"Given a statement, classify it as expressing a positive or negative opinion.",1.0
4,"Given a sentence, classify it as either positive or negative sentiment.",1.0
4,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
4,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
4,"Now you are a classifier, your task is to determine the sentiment polarity of the given text, whether positive or negative.",0.85
4,"Given text, classify whether it is positive or negative.",0.85
4,"Your role is to analyze the provided text for sentiment, and assess it as having either a positive or negative sentiment when examining the social media post.",0.85
4,Analyze a sentence from a movie review and determine the sentiment of it as having a positive or negative opinion.,0.85
4,"As a sentiment classifier, analyze an utterance and categorize it as having a favorable or unfavorable tone, while considering the meaning and relevant context.",0.8
5,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",1.0
5,"Given a statement, classify it as expressing a positive or negative opinion.",1.0
5,"Given a sentence, classify it as either positive or negative sentiment.",1.0
5,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
5,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
5,"Now you are a classifier, your task is to determine the sentiment polarity of the given text, whether positive or negative.",0.85
5,"Given text, classify whether it is positive or negative.",0.85
5,"Your role is to analyze the provided text for sentiment, and assess it as having either a positive or negative sentiment when examining the social media post.",0.85
5,Analyze a sentence from a movie review and determine the sentiment of it as having a positive or negative opinion.,0.85
5,"As a sentiment classifier, analyze an utterance and categorize it as having a favorable or unfavorable tone, while considering the meaning and relevant context.",0.8
6,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",1.0
6,"Given a statement, classify it as expressing a positive or negative opinion.",1.0
6,"Given a sentence, classify it as either positive or negative sentiment.",1.0
6,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
6,"You are required to determine the sentiment of a tweet as being either positive or negative, classifying it accordingly.",0.95
6,"Now you are a classifier, your task is to determine the sentiment polarity of the given text, whether positive or negative.",0.85
6,"Given text, classify whether it is positive or negative.",0.85
6,"Your role is to analyze the provided text for sentiment, and assess it as having either a positive or negative sentiment when examining the social media post.",0.85
6,Analyze a sentence from a movie review and determine the sentiment of it as having a positive or negative opinion.,0.85
6,"As a sentiment classifier, analyze an utterance and categorize it as having a favorable or unfavorable tone, while considering the meaning and relevant context.",0.8
7,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",1.0
7,"Given a statement, classify it as expressing a positive or negative opinion.",1.0
7,"Given a sentence, classify it as either positive or negative sentiment.",1.0
7,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
7,"You are required to determine the sentiment of a tweet as being either positive or negative, classifying it accordingly.",0.95
7,"Now you are a classifier, your task is to determine the sentiment polarity of the given text, whether positive or negative.",0.85
7,"Given text, classify whether it is positive or negative.",0.85
7,"Your role is to analyze the provided text for sentiment, and assess it as having either a positive or negative sentiment when examining the social media post.",0.85
7,Analyze a sentence from a movie review and determine the sentiment of it as having a positive or negative opinion.,0.85
7,"As a sentiment classifier, analyze an utterance and categorize it as having a favorable or unfavorable tone, while considering the meaning and relevant context.",0.8
8,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",1.0
8,"Given a statement, classify it as expressing a positive or negative opinion.",1.0
8,"Given a sentence, classify it as either positive or negative sentiment.",1.0
