step,prompt,score
1,"You will be given a news article and asked to classify it as World, Sports, Business and Tech, depending on its main topic.",0.95
1,"Your task is to classify the news item as ""World"", ""Sports"", ""Tech"" or ""Business"".",0.9
1,"Your responsibility is to assign a news article to one of four categories: World, Sports, Business, or Tech, based on its main idea.",0.9
1,"In this task, you are given a news article. Your task is to classify the article to one out of the four topics ""World"", ""Sports"", ""Business"", ""Tech"" if the article""s main topic is relevant to the world, sports, business, and technology, correspondingly. If you are not sure about the topic, choose the closest option.",0.9
1,"Classify the topic of the following news as ""World"", ""Sports"", ""Tech"" or ""Business"".",0.9
1,"Choose a word from World, Sports, Business and Tech to categorize the given text.",0.9
1,"Your objective is to classify a news article into one of four themes: World, Sports, Business and Tech.",0.85
1,"Determine the theme of the news item. Choose from World, Sports, Business and Tech.",0.8
1,"Determine the the topic of the item and then choose from World, Sports, Business and Tech.",0.8
1,"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",0.75
2,"You will be given a news article and asked to classify it as World, Sports, Business and Tech, depending on its main topic.",0.95
2,"The goal is to identify a news report and categorize it as ""World"", ""Sports"", ""Tech"" or ""Business.""",0.95
2,"Your responsibility is to assign a news article to one of four categories: World, Sports, Business, or Tech, based on its main idea.",0.9
2,"In this task, you are given a news article. Your task is to classify the article to one out of the four topics ""World"", ""Sports"", ""Business"", ""Tech"" if the article""s main topic is relevant to the world, sports, business, and technology, correspondingly. If you are not sure about the topic, choose the closest option.",0.9
2,"Classify the topic of the following news as ""World"", ""Sports"", ""Tech"" or ""Business"".",0.9
2,"Choose a word from World, Sports, Business and Tech to categorize the given text.",0.9
2,"Your objective is to classify a news article into one of four themes: World, Sports, Business and Tech.",0.85
2,"Determine the theme of the news item. Choose from World, Sports, Business and Tech.",0.8
2,"Determine the the topic of the item and then choose from World, Sports, Business and Tech.",0.8
2,"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",0.75
3,"You will be given a news article and asked to classify it as World, Sports, Business and Tech, depending on its main topic.",0.95
3,"The goal is to identify a news report and categorize it as ""World"", ""Sports"", ""Tech"" or ""Business.""",0.95
3,"Your responsibility is to assign a news article to one of four categories: World, Sports, Business, or Tech, based on its main idea.",0.9
3,"In this task, you are given a news article. Your task is to classify the article to one out of the four topics ""World"", ""Sports"", ""Business"", ""Tech"" if the article""s main topic is relevant to the world, sports, business, and technology, correspondingly. If you are not sure about the topic, choose the closest option.",0.9
3,"Classify the topic of the following news as ""World"", ""Sports"", ""Tech"" or ""Business"".",0.9
3,"Choose a word from World, Sports, Business and Tech to categorize the given text.",0.9
3,"Your objective is to classify a news article into one of four themes: World, Sports, Business and Tech.",0.85
3,"Determine the theme of the news item. Choose from World, Sports, Business and Tech.",0.8
3,"Determine the the topic of the item and then choose from World, Sports, Business and Tech.",0.8
3,"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",0.75
4,"You will be given a news article and asked to classify it as World, Sports, Business and Tech, depending on its main topic.",0.95
4,"The goal is to identify a news report and categorize it as ""World"", ""Sports"", ""Tech"" or ""Business.""",0.95
4,"Your responsibility is to assign a news article to one of four categories: World, Sports, Business, or Tech, based on its main idea.",0.9
4,"In this task, you are given a news article. Your task is to classify the article to one out of the four topics ""World"", ""Sports"", ""Business"", ""Tech"" if the article""s main topic is relevant to the world, sports, business, and technology, correspondingly. If you are not sure about the topic, choose the closest option.",0.9
