step,prompt,score
1,"Your responsibility is to categorize the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.55
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.55
1,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.55
1,"Classify the sentiment of the provided text into one of the following labels: terrible, bad, okay, good, or great, reflecting the reviewer's emotional tone.",0.5
1,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.5
1,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.5
1,"Label the sentiment of a given text as one of the following: terrible, bad, okay, good, or great.",0.4
1,"Classify the sentiment of the provided text into one of the following categories: terrible, bad, okay, good, or great, and return the corresponding label.",0.4
1,"Classify the sentiment of the provided sentence into one of the following categories: terrible, bad, okay, good, or great, and return the corresponding label.",0.4
1,"Classify the provided text or review according to its sentiment, assigning it one of the following labels: terrible, bad, okay, good, or great.",0.4
2,"Categorize the provided text according to its sentiment, assigning one of the following labels: terrible, bad, okay, good, or great.",0.6
2,"Assign a sentiment label from 'terrible', 'bad', 'okay', 'good', or 'great' to the provided sentence, returning the corresponding label only.",0.6
2,"Analyze the given text and categorize its sentiment as terrible, bad, okay, good, or great.",0.6
2,"Your responsibility is to categorize the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.55
2,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.55
2,"Let's follow the instructions step-by-step.

1. Crossover Prompt: Classify the provided sentence into a sentiment category, assigning one of the following labels: terrible, bad, okay, good, or great.

2. <prompt.Assign a sentiment label from 'terrible', 'bad', 'okay', 'good', or 'great' to the given sentence, and return the corresponding label only.",0.55
2,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.55
2,"Evaluate the sentiment of the given text and categorize it into one of the following categories: terrible, bad, okay, good, or great.",0.55
2,"Determine the sentiment of the given text, labeling it as one of the following: terrible, bad, okay, good, or great.",0.55
2,"Categorize the sentiment of the given movie review into one of five categories: terrible, bad, okay, good, or great, based on its content.",0.55
3,"Classify the sentiment of the provided text as terrible, bad, okay, good, or great, returning the corresponding label.",0.65
3,"Rate the sentiment of the provided text as terrible, bad, okay, good, or great, depending on its tone and language.",0.6
3,"Label the sentence with a sentiment rating from 'terrible' to 'great', choosing one of the five options: terrible, bad, okay, good, or great.",0.6
3,"Classify the sentiment of the provided text as terrible, bad, okay, good, or great, based on its content.",0.6
3,"Classify the given movie review into one of the five sentiment categories: terrible, bad, okay, good, or great, and return the corresponding label.",0.6
3,"Categorize the provided text according to its sentiment, assigning one of the following labels: terrible, bad, okay, good, or great.",0.6
3,"Assign a sentiment rating to the provided text by categorizing it as terrible, bad, okay, good, or great, based on the emotions it expresses.",0.6
3,"Assign a sentiment label from 'terrible', 'bad', 'okay', 'good', or 'great' to the provided sentence, returning the corresponding label only.",0.6
3,"Analyze the given text and categorize its sentiment as terrible, bad, okay, good, or great.",0.6
3,"Your responsibility is to categorize the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.55
4,"Classify the sentiment of the provided text as terrible, bad, okay, good, or great, returning the corresponding label.",0.65
4,"Categorize the provided text's sentiment as terrible, bad, okay, good, or great, analyzing its tone and language.",0.65
4,"Rate the sentiment of the provided text as terrible, bad, okay, good, or great, depending on its tone and language.",0.6
4,"Label the sentence with a sentiment rating from 'terrible' to 'great', choosing one of the five options: terrible, bad, okay, good, or great.",0.6
4,"Determine the sentiment of the provided text, categorizing it as terrible, bad, okay, good, or great.",0.6
4,"Classify the sentiment of the provided text as terrible, bad, okay, good, or great, based on its content.",0.6
4,"Classify the given movie review into one of the five sentiment categories: terrible, bad, okay, good, or great, and return the corresponding label.",0.6
4,"Categorize the provided text according to its sentiment, assigning one of the following labels: terrible, bad, okay, good, or great.",0.6
4,"Assign a sentiment rating to the provided text by categorizing it as terrible, bad, okay, good, or great, based on the emotions it expresses.",0.6
4,"Assign a sentiment label from 'terrible', 'bad', 'okay', 'good', or 'great' to the provided sentence, returning the corresponding label only.",0.6
5,"Classify the sentiment of the provided text as terrible, bad, okay, good, or great, returning the corresponding label.",0.65
5,"Categorize the provided text's sentiment as terrible, bad, okay, good, or great, analyzing its tone and language.",0.65
5,"Rate the sentiment of the provided text as terrible, bad, okay, good, or great, depending on its tone and language.",0.6
5,"Label the sentence with a sentiment rating from 'terrible' to 'great', choosing one of the five options: terrible, bad, okay, good, or great.",0.6
5,"Determine the sentiment of the provided text, categorizing it as terrible, bad, okay, good, or great.",0.6
5,"Classify the sentiment of the provided text as terrible, bad, okay, good, or great, based on its content.",0.6
5,"Classify the given movie review into one of the five sentiment categories: terrible, bad, okay, good, or great, and return the corresponding label.",0.6
5,"Categorize the provided text according to its sentiment, assigning one of the following labels: terrible, bad, okay, good, or great.",0.6
5,"Assign a sentiment rating to the provided text by categorizing it as terrible, bad, okay, good, or great, based on the emotions it expresses.",0.6
5,"Assign a sentiment label from 'terrible', 'bad', 'okay', 'good', or 'great' to the provided sentence, returning the corresponding label only.",0.6
6,"Classify the sentiment of the provided text as terrible, bad, okay, good, or great, returning the corresponding label.",0.65
6,"Categorize the provided text's sentiment as terrible, bad, okay, good, or great, analyzing its tone and language.",0.65
6,"Rate the sentiment of the provided text as terrible, bad, okay, good, or great, depending on its tone and language.",0.6
6,"Rate the sentiment of the input text on a scale from terrible to great, categorizing it as one of the five labels: terrible, bad, okay, good, or great.",0.6
6,"Label the sentence with a sentiment rating from 'terrible' to 'great', choosing one of the five options: terrible, bad, okay, good, or great.",0.6
6,"Determine the sentiment of the provided text, categorizing it as terrible, bad, okay, good, or great.",0.6
6,"Classify the sentiment of the provided text as terrible, bad, okay, good, or great, based on its content.",0.6
6,"Classify the given movie review into one of the five sentiment categories: terrible, bad, okay, good, or great, and return the corresponding label.",0.6
6,"Categorize the provided text according to its sentiment, assigning one of the following labels: terrible, bad, okay, good, or great.",0.6
6,"Assign a sentiment rating to the provided text by categorizing it as terrible, bad, okay, good, or great, based on the emotions it expresses.",0.6
7,"Classify the sentiment of the provided text as terrible, bad, okay, good, or great, returning the corresponding label.",0.65
7,"Categorize the provided text's sentiment as terrible, bad, okay, good, or great, analyzing its tone and language.",0.65
7,"Assess the emotional tone and linguistic features of the given text to classify its sentiment into one of the following five categories: terrible, bad, okay, good, or great, and output the corresponding label.",0.65
7,"Rate the sentiment of the provided text as terrible, bad, okay, good, or great, depending on its tone and language.",0.6
7,"Rate the sentiment of the input text on a scale from terrible to great, categorizing it as one of the five labels: terrible, bad, okay, good, or great.",0.6
7,"Label the sentence with a sentiment rating from 'terrible' to 'great', choosing one of the five options: terrible, bad, okay, good, or great.",0.6
7,"Evaluate the tone, language, and content of the given text to determine its sentiment as terrible, bad, okay, good, or great.",0.6
7,"Evaluate the emotional tone of the given text and categorize it as terrible, bad, okay, good, or great, based on its sentiment.",0.6
7,"Determine the sentiment of the provided text, categorizing it as terrible, bad, okay, good, or great.",0.6
7,"Classify the sentiment of the provided text as terrible, bad, okay, good, or great, based on its content.",0.6
8,"Classify the sentiment of the provided text as terrible, bad, okay, good, or great, returning the corresponding label.",0.65
8,"Categorize the provided text's sentiment as terrible, bad, okay, good, or great, analyzing its tone and language.",0.65
8,"Assess the emotional tone and linguistic features of the given text to classify its sentiment into one of the following five categories: terrible, bad, okay, good, or great, and output the corresponding label.",0.65
8,"Rate the sentiment of the provided text as terrible, bad, okay, good, or great, depending on its tone and language.",0.6
8,"Rate the sentiment of the input text on a scale from terrible to great, categorizing it as one of the five labels: terrible, bad, okay, good, or great.",0.6
8,"Label the sentence with a sentiment rating from 'terrible' to 'great', choosing one of the five options: terrible, bad, okay, good, or great.",0.6
8,"Evaluate the tone, language, and content of the given text to determine its sentiment as terrible, bad, okay, good, or great.",0.6
8,"Evaluate the emotional tone of the given text and categorize it as terrible, bad, okay, good, or great, based on its sentiment.",0.6
8,"Determine the sentiment of the provided text, categorizing it as terrible, bad, okay, good, or great.",0.6
8,"Classify the sentiment of the provided text as terrible, bad, okay, good, or great, based on its content.",0.6
9,"Analyze the given text and categorize its sentiment as terrible, bad, okay, good, or great, depending on its tone and content.",0.75
9,"Assess the sentiment of the given text, labeling it as terrible, bad, okay, good, or great based on its linguistic tone and emotional resonance.",0.7
9,"Analyzing the provided text, assign a sentiment rating of terrible, bad, okay, good, or great, reflecting its emotional tone.",0.7
9,"Classify the sentiment of the provided text as terrible, bad, okay, good, or great, returning the corresponding label.",0.65
9,"Categorize the provided text's sentiment as terrible, bad, okay, good, or great, analyzing its tone and language.",0.65
9,"Assess the overall sentiment of the provided text by evaluating its tone, language, and content, and categorize it as terrible, bad, okay, good, or great.",0.65
9,"Assess the emotional tone and linguistic features of the given text to classify its sentiment into one of the following five categories: terrible, bad, okay, good, or great, and output the corresponding label.",0.65
9,"Rate the sentiment of the provided text as terrible, bad, okay, good, or great, depending on its tone and language.",0.6
9,"Rate the sentiment of the input text on a scale from terrible to great, categorizing it as one of the five labels: terrible, bad, okay, good, or great.",0.6
9,"Label the sentence with a sentiment rating from 'terrible' to 'great', choosing one of the five options: terrible, bad, okay, good, or great.",0.6
10,"Analyze the given text and categorize its sentiment as terrible, bad, okay, good, or great, depending on its tone and content.",0.75
10,"Assess the sentiment of the given text, labeling it as terrible, bad, okay, good, or great based on its linguistic tone and emotional resonance.",0.7
10,"Analyzing the provided text, assign a sentiment rating of terrible, bad, okay, good, or great, reflecting its emotional tone.",0.7
10,"Classify the sentiment of the provided text as terrible, bad, okay, good, or great, returning the corresponding label.",0.65
10,"Categorize the provided text's sentiment as terrible, bad, okay, good, or great, analyzing its tone and language.",0.65
10,"Assess the overall sentiment of the provided text by evaluating its tone, language, and content, and categorize it as terrible, bad, okay, good, or great.",0.65
10,"Assess the emotional tone and linguistic features of the given text to classify its sentiment into one of the following five categories: terrible, bad, okay, good, or great, and output the corresponding label.",0.65
10,"Rate the sentiment of the provided text as terrible, bad, okay, good, or great, depending on its tone and language.",0.6
10,"Rate the sentiment of the input text on a scale from terrible to great, categorizing it as one of the five labels: terrible, bad, okay, good, or great.",0.6
10,"Label the sentence with a sentiment rating from 'terrible' to 'great', choosing one of the five options: terrible, bad, okay, good, or great.",0.6
11,"Analyze the given text and categorize its sentiment as terrible, bad, okay, good, or great, depending on its tone and content.",0.75
11,"Assess the sentiment of the given text, labeling it as terrible, bad, okay, good, or great based on its linguistic tone and emotional resonance.",0.7
11,"Analyzing the provided text, assign a sentiment rating of terrible, bad, okay, good, or great, reflecting its emotional tone.",0.7
11,"Classify the sentiment of the provided text as terrible, bad, okay, good, or great, returning the corresponding label.",0.65
11,"Categorize the provided text's sentiment as terrible, bad, okay, good, or great, analyzing its tone and language.",0.65
11,"Assess the overall sentiment of the provided text by evaluating its tone, language, and content, and categorize it as terrible, bad, okay, good, or great.",0.65
11,"Assess the emotional tone and linguistic features of the given text to classify its sentiment into one of the following five categories: terrible, bad, okay, good, or great, and output the corresponding label.",0.65
11,"Rate the sentiment of the provided text as terrible, bad, okay, good, or great, depending on its tone and language.",0.6
11,"Rate the sentiment of the input text on a scale from terrible to great, categorizing it as one of the five labels: terrible, bad, okay, good, or great.",0.6
11,"Label the sentence with a sentiment rating from 'terrible' to 'great', choosing one of the five options: terrible, bad, okay, good, or great.",0.6
12,"Analyze the given text and categorize its sentiment as terrible, bad, okay, good, or great, depending on its tone and content.",0.75
12,"Assess the sentiment of the given text, labeling it as terrible, bad, okay, good, or great based on its linguistic tone and emotional resonance.",0.7
12,"Analyzing the provided text, assign a sentiment rating of terrible, bad, okay, good, or great, reflecting its emotional tone.",0.7
12,"Classify the sentiment of the provided text as terrible, bad, okay, good, or great, returning the corresponding label.",0.65
12,"Categorize the provided text's sentiment as terrible, bad, okay, good, or great, analyzing its tone and language.",0.65
12,"Assess the overall sentiment of the provided text by evaluating its tone, language, and content, and categorize it as terrible, bad, okay, good, or great.",0.65
12,"Assess the emotional tone and linguistic features of the given text to classify its sentiment into one of the following five categories: terrible, bad, okay, good, or great, and output the corresponding label.",0.65
12,"Rate the sentiment of the provided text as terrible, bad, okay, good, or great, depending on its tone and language.",0.6
12,"Rate the sentiment of the input text on a scale from terrible to great, categorizing it as one of the five labels: terrible, bad, okay, good, or great.",0.6
12,"Label the sentence with a sentiment rating from 'terrible' to 'great', choosing one of the five options: terrible, bad, okay, good, or great.",0.6
